[16/12/2019 06:18:12] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 06:19:55] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 06:21:37] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 06:23:11] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 06:24:40] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 06:26:09] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 06:27:34] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 06:29:15] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 06:30:50] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 06:32:36] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 06:34:14] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 06:35:53] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 06:37:29] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 06:39:01] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 06:40:32] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 06:41:55] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 06:43:38] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 06:45:11] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 06:46:36] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 06:47:57] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 06:49:17] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
